,group1_name,group1_members1,group1_members2,group1_members3,group1_members4,group2_name,group2_members1,group2_members2,group2_members3,group2_members4,group3_name,group3_members1,group3_members2,group3_members3,group3_members4,group4_name,group4_members1,group4_members2,group4_members3,group4_members4
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,,peacock,plum,blue,scarlet,,glum,netflix,red,down,,hulu,ketchup,mayo,tartar,,relish,low,mustard,peacock
5,,go,boardwalk,midnight,sea,,ice cube,powder,sister,royal,,q-tip,chance,sin,future,,baby,common,hurts,jewel
6,,john,joey,kid,can,,shin,ankle,thigh,knee,,silver,cub,can,head,,cray,jelly, счет,calf
7,,,,,,,,,,,,,,,,,,,,
8,,polo,cricket,tank,fencing,,corn,beet,squash,onion,,halter,termite,beet,carrot,,ant,beetle,tee,corn
9,, costuma,love,treasure,risk,,jordan,georgia,turkey,chad,,crane,fish,twin,goat,,lemon,date,orange,kiwi
10,,,,,,,,,,,,,,,,,,,,
11,,tan,love,flock,sin,,ideas,literally,cot,envy,,flake,ping,bladder,tortoise,,whisper,location,"spare', ",
12,,united,frontier,deutero,new,,gnocchi,chi,iota,gnu,, mengenai,nat,spring,pie,,spirit,knew,gnaw,beta
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,, espresso,kelly,americano,latte,,pecan,cashew,walnut,olive,,emerald,fox,bean,clean,,almond,forest,hurts,jewel
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,rider,horse,stable,groom,, delighted,satisfied,glad,kin obsession,,horse,creature,feeding,Companion,,coleslaw,brainstorm,aggregate,inspire
20,,"['punk', 'jazz', 'rap', 'edge']","['jo', 'amy', 'beth', 'jon']","['opera', 'safari', 'meg', 'wayne']","['pop', 'baby', 'carrot', 'hurts']",,,,,,,,,,,,,,,
21,,husky,boxer,poodle,dalmatian,,stop,bite,yield,wave,,snout,muzzle,beak,trunk,,detour,barrier,slow,asleep
22,,,,,,,,,,,,,,,,,,,,
23,,health,hammer,bounty,sum,,switch,genesis,milky way,anvil,,wii,stirrup,u,crunch,,blink,maroon,cochlea,dreamcast
24,,pencil,elephant,warthog,hippo,,fudge,cheesecake,tiramisu,flan,,heck,return,shoot,darn,,,,,
25,,poland,denmark,portugal,greece,,mimic,echo,blades,waits,,mix,livid,dill,copy,,parrot,cruise,soul,tiger
26,,,,,,,,,,,,,,,,,,,,
27,,tiff,zaw,tiffy,happy,,gif,doc,pdf,zip,,penguin,emu,ostrich,grumpy,,kiwi,banana,mango,coconut
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
