,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4
0,sleet,hail,snow,rain,mom,option,nets,racecar,jazz,heat,kayak,level,bucks,shift,tab,return
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,why,are,people,queue,foot,essence
2,mouth,cheek,nose,eye,pit,stooge,lab,wolf,scarf,gobble,pom,tenor,amigo,king,peke,chow
3,puma,adidas,nike,super,sweep,dust,vacuum,mop,cats,spider,bat,chicago,carousel,cabaret,reebok,iron
4,peacock,plum,scarlet,netflix,glum,hulu,low,down,relish,mayo,tartar,mustard,blue,green,ketchup,prime
5,go,boardwalk,royal,midnight,ice cube,powder,q-tip,sin,sister,jail,common,future,baby,chance,sea,wonder
6,shin,thigh,knee,calf,john,joey,kid,can,silver,cub,star,cray,ankle,head,jelly,throne
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,piano,cryptography,backgammon,florida,fire truck,full
8,polo,tank,halter,tee,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,carrot,cami
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,scales,fish,goat,jay,togo,swallow,twins,crane
10,coriander,cardamom,cumin,sugar,bird,airplane,sweetie,pegasus,posh,honey,ginger,clove,scary,baby,angel,boo
11,pod,flock,school,pack,snail,loris,sloth,cot,sin,lust,pride,envy,greed,tan,sec,tortoise
12,united,frontier,new,spirit,gnocchi,chi,iota,gnu,delta,knew,nu,gnaw,virgin,gnat,gnome,beta
13,murphy,bunk,pilot,mario,warner,marx,sonic,jonas,passport,trundle,accord,civic,crash,canopy,link,wright
14,cluck,caw,chirp,tweet,rod,reel,hook,tackle,silver,turquoise,pink,violet,jones,lure,sparrow,brown
15,espresso,kelly,americano,latte,pecan,cashew,walnut,olive,fox,emerald,bean,clean,almond,forest,peanut,olive
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,gain
17,quad,howser,lat,brown,ribbon,medal,trophy,quinn,commander,pec,bear,bill,house,cup,grey,return
18,ivory,cream,eggsshell,poultry,mirror,spat,row,tiff,garlic,pork,beef,venison,crucifix,quarrel,stake,eggshell
19,rye,barley,oat,brown,howard,lee,king,prince,earl,spelt,stone,rice,bong,ford,duke,baron
20,punk,jo,jazz,kim,opera,edge,rap,amy,safari,meg,wayne,pop,baby,jon,beth,chrome
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep
22,byrd,vogue,beach boy,monkee,sausage,mashed potato,macarena,fortune,twist,wired,website,beatle,chain,golf course,rolling stone,dougie
23,heath,hammer,anvil,switch,bounty,sum,u,crunch,genesis,milky way,wii,dreamcast,blink,cochlea,maroon,stirrup
24,mousse,cheesecake,fudge,tiramisu,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,handlebar,horseshoe,walrus,flan
25,poland,denmark,portugal,holland,petty,mild,mimic,echo,cruise,parrot,waits,mix,dill,livid,copy,greece
26,fedora,page,beret,fez,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,cover,heart,pot
27,grumpy,bashful,tiff,happy,ostrich,emu,penguin,zip,mango,pineapple,banana,coconut,doc,gif,kiwi,pdf
28,moth,skate,fly,wasp,copy,multiply,divide,subtract,sole,lap,gnat,alley,cool,tetra,add,tang
29,packer,shoulder,elbow,hip,bronco,oklahoma,raven,cowboy,shell,spiral,wrist,knee,them,mother,bowtie,airplane
30,pepper,phone,mobile,mac,pyramid,cube,sphere,pod,tomato,eggplant,lima,polish,return,job,pad,cone
31,sole,heel,duckie,lace,ryan,sorry,risk,trouble,tongue,bond,soul,clue,cement,band,hunt,lace
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,shank,sue,chuck,josh,junk,club,return
