,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,"['sleet', 'hail', 'snow', 'rain']","['shift', 'mom', 'option', 'racecar']","['jazz', 'heat', 'nets', 'tab']","['kayak', 'level', 'bucks', 'return']",,,,,,,,,,,,,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,why,are,people,queue,foot,essence,,,,
2,mouth,pit,cheek,stooge,scarf,gobble,nose,lab,wolf,pom,tenor,amigo,king,peke,chow,eye,,,,
3,,,,,,,,,,,,,,,,,,,,
4,peacock,plum,scarlet,blue,glum,low,down,green,hulu,netflix,prime,ketchup,relish,mayo,tartar,mustard,,,,
5,go,boardwalk,royal,midnight,ice cube,powder,q-tip,sin,sister,jail,chance,future,sea,common,baby,wonder,,,,
6,shin,john,ankle,silver,joey,cub,thigh,can,kid,throne,star,knee,cray,jelly,head,calf,,,,
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,piano,cryptography,florida,fire truck,full,backgammon,,,,
8,polo,tank,halter,tee,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,carrot,cami,,,,
9,lemon,orange,kiwi,grape,swallow,crane,turkey,jay,scales,jordan,georgia,fish,togo,twins,goat,chad,,,,
10,coriander,bird,cardamom,posh,sugar,honey,cumin,airplane,sweetie,pegasus,scary,baby,clove,ginger,angel,boo,,,,
11,pod,flock,school,pack,snail,loris,sloth,cot,sin,lust,pride,envy,greed,tan,sec,tortoise,,,,
12,united,new,delta,gnu,gnocchi,frontier,chi,iota,virgin,gnat,gnome,nu,,,,,,,,
13,murphy,warner,pilot,jonas,passport,bunk,mario,canopy,accord,wright,sonic,crash,,,,,,,,
14,cluck,caw,tweet,chirp,rod,silver,turquoise,pink,lure,tackle,sparrow,jones,hook,reel,brown,caw,,,,
15,espresso,kelly,americano,latte,pecan,cashew,walnut,olive,fox,emerald,bean,clean,almond,peanut,forest,olive,,,,
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,gain,,,,
17,quad,howser,lat,brown,ribbon,medal,trophy,grey,commander,pec,bear,bill,house,cup,tri,quinn,,,,
18,ivory,poultry,cream,spat,mirror,garlic,vanilla,eggshell,beef,stake,venison,row,quarrel,pork,crucifix,tiff,,,,
19,rye,howard,barley,lee,king,earl,spelt,brown,prince,rice,stone,oat,bong,ford,duke,baron,,,,
