,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,hail,snow,rain,shift,option,nets,tab,mom,jazz,racecar,kayak,heat,level,return,bucks,,,,
1,pump,mile,league,foot,time,queue,people,why,boot,sneaker,loafer,yard,sea,us,are,essence,,,,
2,mouth,cheeks,nose,peke,pit,stooges,lab,wolf,scarf,gobble,tenor,chow,eye,amigo,king,pom,,,,
3,,,,,,,,,,,,,,,,,,,,
4,peacock,plum,glum,hulu,mayo,relish,ketchup,tartar,low,scarlet,blue,green,netflix,prime,mustard,down,,,,
5,go,boardwalk,midnight,sea,ice cube,powder,q-tip,future,sister,chance,common,royal,sin,baby,hurts,jewel,,,,
6,shin,joey,cub,kid,john,silver,thigh,can,ankle,star,knee,head,cray,jelly,calf,throne,,,,
7,,,,,,,,,,,,,,,,,,,,
8,polo,cricket,tank,ant,corn,squash,beet,onion,halter,tee,termite,beetle,fencing,corn,carrot,cami,,,,
9,,,,,,,,,,,,,,,,,,,,
10,coriander,honey,sweetie,sugar,bird,airplane,pegasus,angel,cardamom,cumin,clove,ginger,posh,scary,baby,boo,,,,
11,,,,,,,,,,,,,,,,,,,,
12,united,frontier,gnum,new,gnocchi,delta,chi,virginal,iot,nu,spirit,knew,gnaw,beta,jewel,om,,,,
13,murphy,mario,wright,jonas,passport,marx,pilot,link,bunk,trundle,canopy,crash,warner,accord,civic,sonic,,,,
14,,,,,,,,,,,,,,,,,,,,
15,latte,cappuccino,pescan,pecan,espresso,kelly,americano,fox,almond,hazelnut,walnut,olive,bean,clean,forest,olive,,,,
16,scarf,ascot,tie,love,gain,port,tide,all,starboard,stern,right,bow,bolo,acute,bermuda,era,,,,
17,,,,,,,,,,,,,,,,,,,,
18,ivory,cream,poultry,egg,mirror,row,tiff,eggshell,garlic,venison,pork,beef,spat,quarrel,crucifix,stake,,,,
19,,,,,,,,,,,,,,,,,,,,
20,punk,jazz,rap,amy,jo,kim,wayne,beth,opera,edge,safari,meg,pop,baby,jon,chrome,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,beak,trunk,detour,barrier,slow,asleep,,,,
22,byrd,vogue,beach boy,sausage,mashed potato,macarena,monkee,fortune,twist,wired,website,beatle,chain,golf course,rolling stone,dougie,,,,
23,heath,sum,switch,wii,hammer,bounty,anvil,couch,genesis,milky way,cochlea,dreamcast,crunch,blink,maroon,u,,,,
24,pencil,handlebar,warthog,horseshoe,heck,shoot,fudge,darn,walrus,hippo,moose,elephant,cheesecake,flan,tiramisu,narwhal,,,,
25,poland,denmark,portugal,greece,petty,mild,mimic,echo,parrot,cruise,waits,mix,dill,livid,holland,copy,,,,
26,,,,,,,,,,,,,,,,,,,,
27,grumpy,tiff,bashful,happy,ostrich,emu,penguin,kiwi,mango,pineapple,banana,coconut,pdf,zip,doc,gif,,,,
28,moth, skate,fly,wasp,copy,multiply,divide,subtract,tang,sole,lap,alley,cool,tetra,add,gnat,,,,
29,packer,shoulder,bronco,oklahoma,shell,elbow,raven,hip,spiral,wrist,them,cowboy,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,sole,ryan,heel,duckie,sorry,risk,tongue,bond,trouble,smart,soul,lace,band,cement,hunt,clue,,,,
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,chuck,josh,sue,melt,tug,cube,shank,,,,
33,fragrance,aroma,scent,jack,scissors,paper,boar,rock,funk,bull,buck,blues,country,soul,shoot,bouquet,,,,
34,penny,nickel,dime,quarter,moon,rainbow,clover,neck,tin,lead,horseshoe,iron,so,again,half,zinc,,,,
35,,,,,,,,,,,,,,,,,,,,
36,otter,peddle,dolphin,saddle,chain,spoke,vend,tong,hawk,cub,move,brake,chin,alert,jewel,om,,,,
37,maple,ash,cedar,elm,plain,plateau,mountain,valley,jump,sesame,poppy,everything,fear,onion,hill,hurt,,,,
38,sundial,newton,clock,no,pixie,crop,watch,hertz,shag,second,pepper,hourglass,evil,j,mole,bob,,,,
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harbor,harp,cat eye,cap,,,,
40,,,,,,,,,,,,,,,,,,,,
41,snorkel,race,fins,jungle,house,tank,bolt,comma,mask,doja,fat,colon,sprint,dash,house,period,,,,
42,irate,furious,livid,incensed,pelican,canary,gull,beeastie,school bus,sunflower,banana,beastie,hardy,lost,beach,pelican,,,,
43,plasma,gas,liquid,stale,cut, crush,undo,trash,slate,shellac,solid,rout,tesla,paste,least,copy,,,,
44,,,,,,,,,,,,,,,,,,,,
45,philadelphia,chicago,manhattan,rio,squall,blizzard,hurricane,cyclone,glamour,elle,cosmopolitan,allure,screwdriver,munich,w,tornado,,,,
46,grassland,tree,desert,go,iguana,gecko,tundra,cobra,monitor,warrior,nae,forest,can,cha,lotus,chameleon,,,,
47,linen,corduroy,scar,denim,rib,specter,phantom,spirit,needle,tease,stitch,poke,beast,genie,ghost,jewel,,,,
48,mother,aunt,cousin,grandmother,donald,quirky,kooky,wacky,biological,dewey,alarm,daffy,daisy,cuckoo,scrooge,nephew,,,,
49,mile,foot,yard,inch,samosa,falafel,katsu,schnitzel,pen,tempera,oil,acrylic,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,mouse,keyboard,speaker,harp,organ,rat,hamster,vole,triangle,monitor,carp,gripe,horn,moan,gerbil,mouse,,,,
52,pride,gov,colony,family,high,blazed,swarm,bio,lit,stats,order,herd,class,domain,chem,baked,,,,
53,shrine,altar,temple,abbey,garfield,calvin,tom,harry,syvester,rocky,silk,chester,reliqu,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,romance,lie,horror,kiss,plaid,paisley,western,fib,tale,whopper,musical,dot,goober,fiction,houndstooth,stripes,,,,
57,spider,mite,tick,black widow,flash,shark,storm,blade,perch,eel,catfish,cribs,jackass,state,char,scorpion,,,,
58,several,few,pair,some,moon,comet,globe,planet,sun,plumb,handful,lyme,,,,,,,,
59,saw,field,delight,court,please,purge,scream,charm,brooch,pendant,ring,anklet,bangle,diamond,topple,tickle,,,,
60,hawking,einstein, selling,genius,crikey,mate,west,gift,flair,oppenheimer,match,feynman,barbie,bush,faculty,moot,,,,
61,me,la,fa,pa,pi,co,na,mu,la,xi,ni,ma,fe,he,nu,do,,,,
62,snap,plank,buckle,obvious,nothing,nada,zip,curl,squat,press,planet,button,crunch,kangaroo,lunge,jack,,,,
63,rover,fly,fido,shirt,observe,notice,spot,see,bait,sinker,storm,lucky,bone,rex,chum,catch,,,,
64,plasma,fire,gas,steam,tree,earth,wedding,vigor,liquid,juice,air,water,circus,saturn,plasma,spirit,,,,
65,millennium,century,decade,year,munch,pancake,omelet,bacon,whistler,rose,egg,juror,close,cereal,hors d'oeuvres,breakfast,,,,
66,pie,cake,tart,cobbler,one,miller,mason,smith,fudge,twist,root,cobbler,distort,dance,meal,doctor,,,,
67,super,won,real,awful,pint,cup,quart,gallon,sterling,pound,sponge,coffee,quite,rand,very,carrot,,,,
68,mate,slide,bud,mary jane,skillet,pot,clog,wok,wedge,weed,grass,herb,chum,pump,crock,weed,,,,
69,sleepy bag,small,cooler,meal,diss,dig,wee,slight,minute,hour,camper,lantern,,,,,,,,
70,nevada,arizona,colorado,utah,rush,soprano,sprite,hawks,mug,squirt,yes,stark,genesis,kansas,crush,montana,,,,
71,singer,actor,stand-up,card,heart,love,dasher,rose,actor,santa,vixen,lieutenant,chocolate,taste,boys,comets,,,,
