,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,hail,snow,rain,shift,option,nets,racecar,mom, jazz,tab,bucks,heat,level,kayak,return,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,essence,us,why,are,people,queue,foot,,,,
2,,,,,,,,,,,,,,,,,,,,
3,"{'items': ['puma', 'adidas', 'nike', 'super'], 'trait': 'Athletic footwear'}","{'items': ['sweep', 'vacuum', 'mop', 'dust'], 'trait': 'Cleaning equipment'}","{'items': ['carousel', 'cabaret', 'cats', 'spider']}",,,,,,,,,,,,,,,,,
4,peacock,plum,scarlet,netflix,glum,mayo,low,down,hulu,relish,tartar,ketchup,blue,green,mustard,prime,,,,
5,go,boardwalk,midnight,sea,ice cube,powder,q-tip,sin,sister,royal,chance,future,jail,common,baby,wonder,,,,
6,shin,ankle,thigh,knee,john,joey,kid,can,silver,cub,throne,star,cray,jelly,head,calf,,,,
7,chess,queen,king,checkers,ruby,cryptography,go,twin,backgammon,stop sign,fire truck,full,locksmith,cherry,florida,piano,,,,
8,,,,,,,,,,,,,,,,,,,,
9,lemon,orange,kiwi,grape,jordan,georgia,turkey,chad,scales,crane,fish,goat,swallow,togo,twins,jay,,,,
10,,,,,,,,,,,,,,,,,,,,
11,pod,snail,flock,school,sin,lust,greed,pride,loris,tan,pack,cot,sec,envy,sloth,return,,,,
12,united,frontier,new,delta,gnocchi,chi,gnome,nu,virgin,gnat,iota,beta,knew,spirit,gnu,gnaw,,,,
13,murphy,mario,pilot,jonas,passport,warner,marx,wright,bunk,trundle,canopy,crash,accord,sonic,civic,link,,,,
14,cluck,caw,chirp,tweet,rod,reel,hook,tackle,brown,pink,silver,turquoise,jones,lure,sparrow,chirp,,,,
15,kelly,latte,cappuccino,americano,pecan,walnut,almond,olive,fox,clean,forest,bean,espresso,pecan,cashew,olive,,,,
16,scarf,ascot,tie,love,port,starboard,stern,tide,bolo,acute,bermuda,era,all,right,bow,return,,,,
17,quad,ribbon,trophy,medal,brown,grey,bill,pec,lat,tri,quinn,commander,house,bear,cup,bill,,,,
18,ivory,poultry,cream,eggshell,mirror,garlic,vanilla,row,beef,pork,venison,stake,tiff,quarrel,spat,crucifix,,,,
19,rye,howard,barley,lee,king,earl,spelt,brown,prince,rice,stone,oat,,,,,,,,
20,punk,jazz,rap,pop,jo,kim,amy,beth,edge,safari,meg,wayne,baby,jon,chrome,punk,,,,
21,husky,boxer,poodle,dalmatian,bite,snout,muzzle,beak,stop,detour,yield,wave,,,,,,,,
22,byrd,vogue,monkee,fortune,beach boy,sausage,mashed potato,macarena,twist,wired,website,beatle,chain,golf course,rolling stone,dougie,,,,
23,heath,switch,anvil,u,hammer,bounty,wii,milky way,sum,crunch,blink,dreamcast,genesis,cochlea,maroon,stirrup,,,,
24,pencil,eraser,paper,rubber,fudge,cheesecake,flan,tiramisu,elephant,hippo,warthog,narwhal,horseshhoe,walrus,handlebar,return,,,,
25,"['poland', 'denmark', 'portugal', 'holland']","['petty', 'mild', 'mimic', 'echo']","['cruise', 'parrot', 'waits', 'mix']","['dill', 'livid', 'copy', 'greece']",,,,,,,,,,,,,,,,
26,fedora,fez,cover,jacket,page,pot,liver,kidney,beret,lung,spine,rabbit,bowler,ass,knife,heart,,,,
27,tiff,bashful,grumpy,happy,pdf,zip,doc,gif,emu,penguin,ostrich,grumpy,mango,pineapple,banana,coconut,,,,
28,moth,fly,wasp,gnat,skate,lap,alley,cool,copy,multiply,divide,subtract,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,pepper,phone,mobile,job,pyramid,cube,sphere,cone,tomato,eggplant,lima,pad,,,,,,,,
31,sole,heel,duckie,lace,ryan,sorry,risk,trouble,tongue,bond,smart,soul,cement,hunt,clue,band,,,,
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,shank,sue,chuck,melt,junk,josh,club,,,,
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,country,soul,shoot,rock,,,,,,,,
34,penny,dime,quarter,nickel,moon,clover,rainbow,horseshoe,neck,lead,zinc,iron,tin,so,again,half,,,,
35,wallaby,kangaroo,mole rat,koala,mars,stacks,mounds,dough,crunch,cheddar,eye,gun,wallaby,paper,wombat,mounds,,,,
36,otter,dolphin,seal,hawk,peddle,saddle,chain,spoke,malt,vend,tong,chin,move,brake,cub,manatee,,,,
37,maple,ash,pine,elm,plain,plateau,mountain,valley,jump,poppy,sesame,fear,onion,cedar,hill,everything,,,,
38,sundial,newton,clock,watch,pixie,crop,shag,mole,hertz,second,hourglass,pepper,evil,j,bob,no,,,,
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harp,cat eye,cap,harbor,,,,
40,fiji,malta,cuba,palau,sam,joe,tony,lucky,java,voss,evian,brew,dasani,pop,mud,japan,,,,
41,snorkel,fins,mask,jungle,race,sprint,dash,fat,house,tank,bolt,period,comma,colon,doja,snorkel,,,,
42,irate,furious,livid,incensed,pelican,canary,booby,gull,hardy,school bus,beeastie,banana,sunflower,livid,beach,lost,,,,
43,plasma,gas,liquid,solid,shellac,paste,cut,crush,stale,undo,trash,least,tesla,slate,rout,copy,,,,
44,,,,,,,,,,,,,,,,,,,,
45,philadelphia,chicago,manhattan,rio,squall,blizzard,tornado,hurricane,glamour,elle,allure,cosmopolitan,screwdriver,munich,cyclone,w,,,,
46,grassland,tree,tundra,forest,iguana,gecko,cobra,monitor,go,nae,can,cha,lotus,warrior,chameleon,desert,,,,
47,linen,rib,corduroy,scar,specter,phantom,spirit,tease,needle,stitch,denim,poke,beast,genie,ghost,spook,,,,
48,mother,aunt,cousin,nephew,donald,quirky,wacky,dewey,cuckoo,kooky,scrooge,biological,daisy,alarm,daffy,nephew,,,,
49,mile,foot,yard,inch,samosa,falafel,schnitzel,katsu,pen,tempera,oil,acrylic,dim,nick,quart,watercolour,,,,
50,grinder,scott,blade,tinder,near dark,twilight,west,sub,hero,hoagie,lost boys,bumble,hinge,match,driver,ant,,,,
51,mouse,keyboard,rat,hamster,organ,grouse,vole,harp,speaker,monitor,triangle,carp,moan,gripe,horn,gerbil,,,,
52,pride,family,colony,high,blazed,swarm,herd,order,bio,lit,stats,class,,,,,,,,
53,shrine,altar,temple,abbey,rocky,sylvester,calvin,tom,garfield,harry,felix,chester,silk,reliquary,high,abbey,,,,
54,top,blocks,hockey,puck,memory,giggle,eggnog,yo-yo,duncan,leggings,viola,selfie,doll,fish,juliet,baggage,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,spider,mite,tick,black widow,flash,perch,shark,storm,jackass,cribs,state,blade,eel,catfish, Scorpion,char,,,,
58,few,pair,handful,lyme,moon,comet,planet,sun,globe,asteroid,journal,post,several,some,mellon,plumb,,,,
59,saw,pendant,ring,anklet,charm,brooch,diamond,anklet,field,delight,scream,court,purge,tickle,return,please,,,,
60,hawking,einstein,oppenheimer,feynman,crikey,flair,mate,gift,barbie,west,match,buddy,selling,genius,bush,faculty,,,,
61,pi,ma,fa,nu,co,mu,la,xi,me,pa,ti,he,na,do,fi,ni,,,,
62,"['snap', 'buckle', 'zip', 'curl']","['plank', 'squat', 'lunge', 'press']","['obvious', 'nada', 'nothing', 'zip']","['button', 'crunch', 'kangaroo', 'jack']",,,,,,,,,,,,,,,,
63,rover,fido,rex,chum,shirt,bait,bone,lucky,observe,notice,see,catch,storm,sinker,return,lucky,,,,
64,plasma,fire,gas,air,tree,steam,vigor,earth,liquid,water,wedding,juice,solid,saturn,circus,earth,,,,
65,millennium,century,decade,year,pancake,omelet,bacon,waffle,whistler,rose,juror,close,cereal,egg,munch,month,,,,
66,,,,,,,,,,,,,,,,,,,,
67,pint,cup,quart,gallon,sterling,pound,real,awful,quite,very,rand,won,carrot,coffee,sponge,super,,,,
68,mate,slide,bud,mary jane,skillet,pot,clog,wok,wedge,weed,grass,herb,chum,pump,crock,pal,,,,
69,sleeping bag,tent,camper,lantern,small,medium,large,wee,cooler,meal,jab,diss,dig,hour,minute,slight,,,,
70,arizona,colorado,montana,utah,nevada,kansas,rush,stark,genie,mug,sprite,squirt,soprano,crush,hawk,yes,,,,
71,singer,actor,stand-up,dancer,heart,cupid,rose,taste,santa,dasher,boys,lieutenant,card,chocolate,vixen,comet,,,,
72,mustache,beard,stubble,goatee,tail,shadow,pedal,wheel,handlebar,track,vote,gear,dog,doubt,movie,follow,,,,
73,mastodon,outfit,duds,turkeys,dodo,smooch,flops,trilobite,misses,threads,peck,smack,getup,busts,mammoth,,,,,
74,"['party', 'bash', 'shindig', 'blowout']","['whale', 'island', 'range', 'woodcarver']","['mixer', 'cricket', 'sink', 'puppet']","['bunny', 'egg', 'counter', 'sunday']",,,,,,,,,,,,,,,,
75,"['taboo', 'nike', 'risk', 'killer']","['opinion', 'national', 'trouble', 'atlas']","['style', 'paris', 'notorious', 'sorry']","['foxy', 'gucci', 'hermes', 'business']",,,,,,,,,,,,,,,,
76,tender,breast,wing,infant,snare,hole,cymbal,drumstick,swimming,eagle,kick,driver,ticker,tom,pub,stroke,,,,
77,heaven,paradise,cloud nine,bliss,shake,hustle,fast one,wave,top ten,high five,bucket,guest,racket,hug,con,wish,,,,
78,run,onyx,cyber,lynx,book,ibex,split,ash,ebony,oryx,raven,black,fat,bounce,jet,fox,,,,
79,slide,swing,seesaw,times,eye,papyrus,ankh,scarab,sandbox, pull,weight,courier,,,,,,,,
80,popper,nick,wing,chip,flap,right,correct,yes,lumber,scratch,nacho,apple,fry,cracker,ding,bingo,,,,
81,tumbler,coffee,goblet,olds,oboe,flute,saxophone,bishop,pound,fricassee,snifter,frost,balloon,bassoon,clarinet,stein,,,,
82,,,,,,,,,,,,,,,,,,,,
83,hen,cow,mare,doe,m,yew,u,i,they,it,we,you,d,v,l,e,,,,
