,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,hail,snow,rain,shift,mom,option,nets,jazz,heat,racecar,kayak,level,return,bucks,tab,,,,
1,pump,time,mile,league,boot,sneaker,loafer,yard,sea,us,why,are,people,queue,foot, essence,,,,
2,mouth,pit,cheek,gobble,stooge,scarf,lab,wolf,pom,tenor,eye,amigo,king,peke,chow,nose,,,,
3,"['puma', 'adidas', 'nike', 'spider']","['sweep', 'vacuum', 'mop', 'dust']","['cats', 'bat', 'chicago', 'super']","['carousel', 'cabaret', 'reebok', 'iron']",,,,,,,,,,,,,,,,
4,peacock,plum,scarlet,blue,glum,low,down,green,hulu,netflix,prime,ketchup,relish,mayo,tartar,mustard,,,,
5,go,boardwalk,royal,sea,ice cube,powder,q-tip,sin,sister,common,future,baby,,,,,,,,
6,shin,thigh,knee,calf,john,joey,kid,can,silver,cub,star,head,ankle,cray,jelly,throne,,,,
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,fire truck,full,cryptography,florida,backgammon,chess,,,,
8,polo,cricket,fencing,ant,corn,squash,beet,carrot,mantis,tank,termite,beetle,halter,tee,onion,cami,,,,
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,scales,fish,goat,jay,togo,swallow,twins,crane,,,,
10,coriander,cardamom,cumin,sugar,bird,sweetie,angel,pegasus,cardamom,clove,ginger,honey,airplane,boo,scary,baby,,,,
11,pod,flock,school,pack,snail,tortoise,sloth,cot,lust,pride,envy,sin,loris,tan,sec,cot,,,,
12,united,frontier,new,gnu,gnocchi,virgin,iota,nu,delta,chi,knew,gnaw,gnat,gnome,spirit,beta,,,,
13,murphy,mario,warner,jonas,passport,bunk,pilot,civic,trundle,accord,wright,crash,,,,,,,,
14,cluck,caw,chirp,tweet,rod,reel,hook,tackle,silver,turquoise,pink,violet,jones,lure,sparrow,brown,,,,
15,espresso,kelly,americano,latte,pecan,cashew,walnut,olive,fox,emerald,peanut,bean,clean,forest,almond,olive,,,,
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,gain,,,,
17,quad,lat,ribbon,house,howser,brown,trophy,bill,medal,grey,quinn,commander,pec,bear,cup,house,,,,
18,ivory,poultry,cream,eggshell,mirror,garlic,vanilla,row,beef,pork,venison,stake,spat,tiff,quarrel,crucifix,,,,
19,rye,howard,barley,lee,king,earl,spelt,brown,prince,rice,stone,oat,bong,ford,duke,baron,,,,
20,"['punk', 'jo', 'jazz', 'kim']","['opera', 'edge', 'rap', 'amy']","['safari', 'meg', 'wayne', 'pop']","['baby', 'jon', 'beth', 'chrome']",,,,,,,,,,,,,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep,,,,
22,"['byrd', 'vogue', 'beach boy', 'monkee']","['sausage', 'mashed potato', 'macarena', 'fortune']","['twist', 'wired', 'website', 'beatle']","['chain', 'golf course', 'rolling stone', 'dougie']",,,,,,,,,,,,,,,,
23,heath,hammer,anvil,wii,bounty,sum,u,crunch,genesis,milky way,stirrup,dreamcast,blink,maroon,cochlea,return,,,,
24,mousse,cheesecake,fudge,tiramisu,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,walrus,horseshoe,handlebar,flan,,,,
25,poland,denmark,portugal,holland,petty,mild,mimic,parrot,echo,cruise,waits,mix,dill,livid,copy,greece,,,,
26,fedora,page,beret,pot,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,cover,heart,return,,,,
27,grumpy,tiff,bashful,emu,mango,pineapple,banana,coconut,pdf,doc,zip,kiwi,ostrich,penguin,happy,gif,,,,
28,moth,fly,wasp,gnat,skate,lap,alley,cool,copy,multiply,divide,subtract,tang,sole,tetra,add,,,,
29,packer,shoulder,elbow,hip,bronco,oklahoma,raven,cowboy,shell,spiral,wrist,knee,them,mother,bowtie,airplane,,,,
30,pepper,phone,mobile,mac,cucumber,tomato,eggplant,lima,pyramid,cube,sphere,pod,polish,job,pad,cone,,,,
31,sole,heel,duckie,lace,ryan,sorry,risk,bond,tongue,trouble,smart,soul,band,cement,hunt,clue,,,,
32,tug,ferry,yacht,sub,rob,chuck,josh,sue,round,cuban,flank,loin,melt,junk,shank,club,,,,
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,bull,buck,rock,blues,country,soul,shoot,bouquet,,,,
34,penny,dime,quarter,nickel,moon,neck,rainbow,horseshoe,tin,lead,zinc,iron,clover,so,again,half,,,,
35,wallaby,kangaroo,mole rat,wombat,paper,mars,stacks,dough,crunch,cheddar,mounds,eye,truth,gun,koala,chunky,,,,
36,otter,dolphin,seal,hawk,peddle,saddle,chain,spoke,malt,vend,tong,chin,move,brake,cub,manatee,,,,
37,maple,ash,pine,cedar,plain,plateau,mountain,valley,poppy,sesame,elm,onion,jump,fear,hill,everything,,,,
38,sundial,clock,watch,hourglass,newton,hertz,second,pepper,pixie,crop,shag,mole,no,evil,bob,j,,,,
39,"['flute', 'bassoon', 'oboe', 'clarinet']","['wayfarer', 'hooded', 'aviator', 'monk']","['lid', 'cover', 'top', 'wraparound']","['harbor', 'harp', 'cat eye', 'cap']",,,,,,,,,,,,,,,,
40,fiji,malta,cuba,sam,dasani,java,evian,pop,joe,tony,lucky,brew,,,,,,,,
41,"['snorkel', 'fins', 'mask', 'jungle']","['race', 'sprint', 'dash', 'fat']","['house', 'bolt', 'period', 'colon']","['hyphen', 'comma', 'doja', 'tank']",,,,,,,,,,,,,,,,
