,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,shift,hail,snow,mom,jazz,heat,option,nets,tab,racecar,kayak,level,return,bucks,rain,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,puma,adidas,nike,spider,cats,sweep,vacuum,mop,carousel,bat,iron,chicago,dust,return,super,reebok,,,,
4,peacock,plum,scarlet,hulu,glum,low,down,blue,mayo,relish,ketchup,tartar,netflix,prime,hulu,peacock,,,,
5,go,boardwalk,midnight,sea,ice cube,powder,q-tip,future,sister,royal,chance,baby,common,hurts,jewel,sin,,,,
6,,,,,,,,,,,,,,,,,,,,
7,chess,queens,king,checkers,ruby,go,cryptography,twin,backgammon,locksmith,stop sign,piano,cherry,hurts,jewel,full,,,,
8,polo,tank,tee,halter,cricket,fencing,ant,termite,beet,corn,onion,squash,,,,,,,,
9,lemon,orange,kiwi,grapefruit,jordan,georgia,twins,chad,crane,fish,goat,jay,date,scales,turkey,togo,,,,
10,,,,,,,,,,,,,,,,,,,,
11,pod,flock,school,pack,lust,pride, envy,sloth,cot,sin,tan,loris,snail,tortoise,greed,sec,,,,
12,united,frontier,new,gnu,gnocchi,chi,virgin,gnat,delta,iota,nu,beta,knew,gnaw,jewel,om,,,,
13,mario,warner,sonic,jonas,murphy,passport,bunk,link,accord,wright,pilot,civic,crash,canopy,hurts,om,,,,
14,,,,,,,,,,,,,,,,,,,,
15,kelly,latte,cappuccino,americano,forest,clean,emerald,walnut,fox,bean,peanut,kelly,pecan,almond,cashew,olive,,,,
16,scarf,ascot,tie,love,gain,starboard,port,tide,all,stern,right,bolo,acute,bermuda,era,bow,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,punk,jazz,rap,amy,jo,edge,wayne,beth,opera,safari,meg,chrome,kim,hurts,jewel,om,,,,
21,,,,,,,,,,,,,,,,,,,,
22,vogue,beach boy,monkee,beatle,byrd,sausage,twist,wired,mashed potato,macarena,golf course,rolling stone,chain,fortune,om,dougie,,,,
23,hammer,anvil,switch,wii,bounty,genesis,milky way,u,heath,crunch,blink,maroon,cochlea,dreamcast,stirrup,sum,,,,
24,mousse,cheesecake,tiramisu,flan,heck,shoot,warthog,darn,pencil,horseshoe,handlebar,elephant,narwhal,walrus,hippo,elephant,,,,
25,poland,denmark,greece,holland,petty,mild,mimic,echo,portugal,cruise,parrot,waits,mix,dill,livid,copy,,,,
26,,,,,,,,,,,,,,,,,,,,
