,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,shift,hail,snow,mom,jazz,heat,option,nets,tab,racecar,kayak,level,return,bucks,rain,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,puma,adidas,nike,spider,cats,sweep,vacuum,mop,carousel,bat,chicago,super,reebok,dust,iron,cabaret,,,,
4,peacock,plum,hulu,netflix,glum,blue,low,down,relish,mayo,prime,tartar,ketchup,mustard,jewel,hurts,,,,
5,go,sister,royal,future,ice cube,powder,midnight,q-tip,boardwalk,jail,common,sea,baby,hurts,jewel,sin,,,,
6,john,joey,kid,can,shin,thigh,calf,knee,silver,cray,jelly,head,ankle,cub,throne,star,,,,
7,chess,queen,king,checkers,ruby,go,cryptography,florida,backgammon,locksmith,stop sign,piano,cherry,twin,hurts,jewel,,,,
8,polo,tank,tee,halter,corn,squash,beet,onion,cricket,mantis,fencing,ant,termite,beetle,carrot,cami,,,,
9,,,,,,,,,,,,,,,,,,,,
10,bird,sweetie,angel,boo,coriander,cardamom,cumin,sugar,airplane,baby,pegasus,scary,honey,ginger,clove,posh,,,,
11,pod,flock,school,pack,sin,lust,greed,envy,snail,loris,tan,sloth,cot,sec,pod,tortoise,,,,
12,united,frontier,new,gnu,gnocchi,delta,chi,iota,virgin,gnat,nu,spirit,knew,gnaw,jewel,om,,,,
13,,,,,,,,,,,,,,,,,,,,
14,caw,chirp,tweet,cluck,rod,hook,reel,jones,pink,brown,turquoise,violet,silver,tackle,lure,caulk,,,,
15,kelly,latte,cappuccino,americano,fox,emerald,walnut,olive,bean,pecan,almond,cashew,clean,forest,return,simple,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,ivory,cream,eggsshell,poultry,mirror,row,tiff,quarrel,garlic,pork,beef,venison,crucifix,stake,return,poultry,,,,
19,rye,barley,king,prince,howard,lee,brown,duke,spelt,oat,stone,bong,ford,baron,earl,rice,,,,
20,punk,jazz,rap,amy,jo,edge,wayne,pop,opera,safari,meg,jon,beth,chrome,carrot,hurts,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,beak,trunk,detour,barrier,slow,asleep,,,,
22,vogue,beach boy,sausage,monkee,byrd,twist,wired,website,beatle,chain,golf course,rolling stone,mashed potato,fortune,dougie,website,,,,
23,,,,,,,,,,,,,,,,,,,,
24,mousse,cheesecake,tiramisu,flan,pencil,heck,shoot,darn,narwhal,elephant,warthog,hippo,fudge,horseshoe,handlebar,walrus,,,,
