,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,shift,hail,snow,mom,jazz,option,rain,nets,tab,racecar,kayak,level,return,bucks,heat,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,are,queue,essence,why,foot,people,,,,
2,mouth,pit,cheek,stooge,scarf,gobble,nose,lab,wolf,pom,tenor,amigo,king,peke,chow,eye,,,,
3,puma,adidas,nike,spider,cats,carousel,dust,vacuum,sweep,bat,iron,mop,chicago,super,return,om,,,,
4,peacock,plum,scarlet,hulu,glum,low,down,blue,mayo,relish,mustard,ketchup,prime,netflix,tartar,green,,,,
5,go,boardwalk,royal,midnight,ice cube,powder,q-tip,sin,sister,jail,common,future,chance,sea,baby,wonder,,,,
6,shin,joey,cub,thigh,john,silver,kid,throne,ankle,can,knee,calf,cray,jelly,head,star,,,,
7,chess,queen,king,checkers,ruby,go,cherry,twin,backgammon,locksmith,stop sign,cryptography,florida,fire truck,full,piano,,,,
8,polo,tank,tee,halter,corn,squash,beet,onion,cricket,mantis,fencing,ant,beetle,carrot,cami,termite,,,,
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,crane,togo,fish,goat,scales,swallow,hurts,jay,,,,
10,coriander,bird,cardamom,posh,sugar,honey,cumin,airplane,sweetie,pegasus,scary,baby,clove,ginger,angel,boo,,,,
11,,,,,,,,,,,,,,,,,,,,
12,united,frontier,new,gnu,gnocchi,chi,virgin,iota,delta,knew,nu,spirit,gnat,jewel,gnaw,beta,,,,
13,murphy,warner,mario,pilot,passport,bunk,trundle,accord,marx,wright,sonic,jonas,canopy,crash,link,civic,,,,
14,cluck,caw,tweet,chirp,rod,pink,silver,turquoise,hook,reel,jones,tackle,brown,violet,lure,caw,,,,
15,espresso,kelly,americano,fox,pecan,cashew,latte,emerald,walnut,olive,peanut,bean,clean,forest,almond,pecan,,,,
16,scarf,tie,ascot,love,gain,port,starboard,tide,all,stern,era,bow,acute,bermuda,bolo,right,,,,
17,brown,ribbon,trophy,medal,bear,commander,house,pec,bill,lat,quinn,tri,cup,howser,quad,grey,,,,
18,ivory,cream,eggShell,pork,poultry,beef,venison,tiff,spat,mirror,quarrel,row,garlic,vanilla,crucifix,steak,,,,
19,rye,barley,king,prince,howard,lee,oat,brown,earl,spelt,stone,ford,bong,duke,baron,rice,,,,
20,punk,jazz,rap,amy,jo,kim,wayne,beth,opera,safari,pop,chrome,edge,baby,jon,meg,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,trunk,beak,detour,barrier,slow,asleep,,,,
22,vogue,byrd,beach boy,sausage,twist,fortune,wired,website,rolling stone,chain,golf course,dougie,,,,,,,,
23,heath,hammer,bounty,sum,switch,genesis,milky way,anvil,wii,stirrup,u,crunch,blink,maroon,cochlea,dreamcast,,,,
24,mousse,pencil,cheesecake,flan,heck,shoot,warthog,darn,narwhal,elephant,walrus,hippo,fudge,tiramisu,horseshoe,handlebar,,,,
