,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,hail,snow,rain,shift,option,racecar,level,mom,jazz,nets,bucks,heat,tab,kayak,return,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,essence,us,why,are,queue,people,foot,,,,
2,mouth,cheek,nose,eye,pit,stooge,lab,wolf,scarf,pom,tenor,amigo,chow,peke,king,peke,,,,
3,puma,adidas,nike,super,sweep,dust,vacuum,mop,cats,spider,bat,chicago,carousel,cabaret,reebok,iron,,,,
4,peacock,plum,scarlet,netflix,glum,hulu,low,down,relish,mayo,prime,ketchup,blue,green,tartar,mustard,,,,
5,go,boardwalk,royal,sea,ice cube,powder,q-tip,sin,sister,jail,chance,future,midnight,common,baby,wonder,,,,
6,shin,thigh,calf,knee,john,joey,kid,can,silver,cub,star,cray,ankle,head,jelly,throne,,,,
7,chess,queen,king,checkers,ruby,go,cherry,twin,locksmith,stop sign,piano,cryptography,florida,fire truck,full,return,,,,
8,polo,tank,halter,tee,corn,squash,beet,onion,cricket,fencing,ant,beetle,mantis,termite,carrot,cami,,,,
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,scales,fish,goat,jay,swallow,togo,twins,crane,,,,
10,coriander,cardamom,cumin,sugar,bird,airplane,sweetie,pegasus,posh,honey,baby,ginger,scary,angel,boo,clove,,,,
11,pod,flock,school,pack,sin,lust,greed,pride,loris,snail,sloth,tortoise,cot,envy,sec,tan,,,,
12,united,frontier,new,spirit,gnocchi,iota,nu,gnome,delta,chi,gnu,knew,virgin,gnat,gnaw,beta,,,,
13,murphy,bunk,pilot,crash,mario,warner,sonic,jonas,passport,marx,accord,civic,trundle,canopy,link,wright,,,,
14,cluck,caw,chirp,tweet,silver,turquoise,pink,violet,rod,hook,reel,tackle,jones,lure,sparrow,brown,,,,
15,espresso,americano,latte,cappuccino,kelly,pecan,cashew,almond,fox,emerald,olive,forest,,,,,,,,
16,scarf,ascot,tie,love,starboard,port,stern,tide,bolo,acute,bermuda,era,all,right,bow,gain,,,,
17,brown,grey,ribbon,trophy,commander,house,pec,bear,quad,lat,tri,quinn,bill,cup,medal,howser,,,,
